cTitulo,dModificacion,cURL,lEspañol,lIngles,lLingüistica,lRedesSociales,lGlobalizacion,lTurismo,lTecnologia,lInteligenciaArtificial,lAprendizajeAutomatico,lProcesamientoDelLenguajeNatural,lCienciaDeDatos,lCientificoDeDatos
Aerial Semantic Segmentation Drone Dataset,2021-01-11,www.kaggle.com/bulentsiyah/semantic-drone-dataset,0,1,0,0,0,0,1,0,0,0,0,0
Data Science Cheat Sheets,2020-02-04,www.kaggle.com/timoboz/data-science-cheat-sheets,0,1,0,0,0,0,0,1,0,0,0,0
CAPTCHA Images,2019-02-27,www.kaggle.com/fournierp/captcha-version-2-images,0,1,0,0,0,0,0,1,0,0,0,0
Corn or Maize Leaf Disease Dataset,2020-11-11,www.kaggle.com/smaranjitghose/corn-or-maize-leaf-disease-dataset,0,1,0,0,0,0,0,1,0,0,0,0
Delhi Weather Data,2017-04-24,www.kaggle.com/mahirkukreja/delhi-weather-data,0,1,0,0,0,0,0,1,0,0,0,0
Human Activity Recognition with Smartphones,2019-11-13,www.kaggle.com/uciml/human-activity-recognition-with-smartphones,0,1,0,0,0,0,0,1,0,0,0,0
Brain Tumor Classification (MRI),2020-05-24,www.kaggle.com/sartajbhuvaji/brain-tumor-classification-mri,0,1,0,0,0,0,0,1,0,0,0,0
Huge Stock Market Dataset,2017-11-16,www.kaggle.com/borismarjanovic/price-volume-data-for-all-us-stocks-etfs,0,1,0,0,0,0,0,1,0,0,0,0
The 2019 AI Index report,2019-12-17,www.kaggle.com/antgoldbloom/the-2019-ai-index-report,0,1,0,0,0,0,0,1,0,0,0,0
Forest Fire Area,2020-10-17,www.kaggle.com/sumitm004/forest-fire-area,0,1,0,0,0,0,0,1,0,0,0,0
Data Science Jobs around the world,2018-01-04,www.kaggle.com/jonatancr/data-science-jobs-around-the-world,0,1,0,0,0,0,0,1,0,0,0,0
2018 Kaggle Machine Learning & Data Science Survey,2018-11-03,www.kaggle.com/kaggle/kaggle-survey-2018,0,1,0,0,0,0,0,0,1,0,0,0
Pokémon for Data Mining and Machine Learning,2017-03-05,www.kaggle.com/alopez247/pokemon,0,1,0,0,0,0,0,0,1,0,0,0
Online Shoppers Intention UCI Machine Learning,2020-01-15,www.kaggle.com/henrysue/online-shoppers-intention,0,1,0,0,0,0,0,0,1,0,0,0
Disease Prediction Using Machine Learning,2020-05-15,www.kaggle.com/kaushil268/disease-prediction-using-machine-learning,0,1,0,0,0,0,0,0,1,0,0,0
