cTitulo,dModificacion,cURL,lEspañol,lIngles,lLingüistica,lRedesSociales,lGlobalizacion,lTurismo,lTecnologia,lInteligenciaArtificial,lAprendizajeAutomatico,lProcesamientoDelLenguajeNatural,lCienciaDeDatos,lCientificoDeDatos
Programas elecciones España 10-N 2019,2019-11-10,www.kaggle.com/datashyends/programas10n,1,0,0,1,0,0,0,0,0,0,0,0
Raman spectroscopy of Diabetes,2019-05-14,www.kaggle.com/codina/raman-spectroscopy-of-diabetes,1,0,0,0,0,1,0,0,0,0,0,0
Transcripción de telediarios,2021-02-09,www.kaggle.com/datamarket/transcripcin-de-telediarios,1,0,0,0,1,0,0,0,0,0,0,0
Abecedario Lenguaje de Señas Chileno-Español,2019-06-10,www.kaggle.com/bpablo27/abecedario-lenguaje-de-seas-chilenoespaol,1,0,0,0,0,0,0,1,0,0,0,0
Donación de Órganos en México,2019-10-27,www.kaggle.com/joshdoit/master,1,0,0,0,0,0,0,0,0,1,0,0
